Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Sinuosity_Index,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Agboy Norte to Poblacion 1,6826.5,63.66,87.03,23.36,136.01,112.65,0.34,13.47,1.54,8.33,6.04,819.51,13.66,1131.12,18.85,,
Agboy Norte to Poblacion 2,6791.1,63.66,87.03,23.36,133.93,110.57,0.34,13.47,1.53,8.33,6.07,815.26,13.59,1119.18,18.65,,
Agboy Norte to Poblacion 3,6835.5,63.66,87.03,23.36,139.56,116.2,0.34,13.47,1.54,8.33,6.03,820.59,13.68,1134.14,18.9,,
Agboy Sur to Poblacion 1,5898.23,51.99,87.03,35.03,128.22,93.19,0.59,13.47,1.49,8.33,6.23,708.07,11.8,946.09,15.77,,
Agboy Sur to Poblacion 2,5861.81,52.01,87.03,35.02,126.13,91.11,0.6,13.47,1.48,8.33,6.27,703.7,11.73,934.72,15.58,,
Agboy Sur to Poblacion 3,5907.84,52.01,87.03,35.02,131.75,96.74,0.59,13.47,1.49,8.33,6.23,709.22,11.82,948.99,15.82,,
Anonang to Poblacion 1,4049.07,57.09,87.03,29.93,76.73,46.8,0.74,12.89,1.31,8.33,6.93,486.08,8.1,584.53,9.74,,
Anonang to Poblacion 2,4094.08,57.07,87.03,29.95,82.38,52.43,0.73,12.89,1.33,8.33,6.87,491.49,8.19,595.99,9.93,,
Anonang to Poblacion 3,4085.23,57.07,87.03,29.96,78.84,48.88,0.73,12.89,1.32,8.33,6.88,490.42,8.17,593.66,9.89,,
Biri Norte to Poblacion 1,3515.1,71.87,87.05,15.17,70.18,55.0,0.43,13.55,1.22,8.33,7.37,421.98,7.03,477.18,7.95,,
Biri Norte to Poblacion 2,3578.04,72.0,87.05,15.05,74.46,59.41,0.42,13.55,1.23,8.33,7.29,429.54,7.16,490.62,8.18,,
Biri Norte to Poblacion 3,3560.89,72.0,87.05,15.05,70.58,55.54,0.42,13.55,1.23,8.33,7.32,427.48,7.12,486.67,8.11,,
Biri Sur to Poblacion 1,4389.59,76.66,87.05,10.39,94.37,83.98,0.24,15.27,1.35,8.33,6.83,526.96,8.78,642.58,10.71,,
Biri Sur to Poblacion 2,4445.01,76.63,87.05,10.41,98.64,88.23,0.23,15.26,1.37,8.33,6.76,533.61,8.89,657.51,10.96,,
Biri Sur to Poblacion 3,4299.03,76.66,87.05,10.39,85.32,74.93,0.24,13.55,1.32,8.33,6.94,516.09,8.6,619.04,10.32,,
Buenavista to Poblacion 1,6344.98,81.77,87.03,5.26,127.03,121.78,0.08,20.58,1.31,8.33,7.04,761.7,12.7,901.27,15.02,,
Buenavista to Poblacion 2,6388.65,81.77,87.03,5.26,130.53,125.28,0.08,20.58,1.32,8.33,7.0,766.94,12.78,912.32,15.21,,
Buenavista to Poblacion 3,6370.38,81.77,87.03,5.26,126.3,121.04,0.08,20.58,1.31,8.33,7.02,764.75,12.75,907.71,15.13,,
Omambong to Poblacion 1,4994.6,45.96,87.05,41.09,104.95,63.86,0.82,13.55,1.16,8.33,7.55,599.59,9.99,661.97,11.03,,
Omambong to Poblacion 2,5049.1,45.96,87.05,41.09,109.21,68.12,0.81,13.55,1.17,8.33,7.49,606.13,10.1,673.69,11.23,,
Omambong to Poblacion 3,5031.88,45.96,87.05,41.09,105.35,64.26,0.82,13.55,1.17,8.33,7.51,604.07,10.07,669.98,11.17,,
