Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Agboy Norte to Poblacion 1,6826.5,63.66,87.03,23.36,136.01,112.65,0.34,13.47,8.33,6.04,696.58,11.61,961.45,16.02,Concrete,Very Good
Agboy Norte to Poblacion 2,6791.1,63.66,87.03,23.36,133.93,110.57,0.34,13.47,8.33,6.07,692.97,11.55,951.3,15.85,Concrete,Very Good
Agboy Norte to Poblacion 3,6835.5,63.66,87.03,23.36,139.56,116.2,0.34,13.47,8.33,6.03,697.5,11.63,964.02,16.06,Concrete,Very Good
Agboy Sur to Poblacion 1,5898.23,51.99,87.03,35.03,128.22,93.19,0.59,13.47,8.33,6.23,601.86,10.03,804.18,13.4,Concrete,Very Good
Agboy Sur to Poblacion 2,5861.81,52.01,87.03,35.02,126.13,91.11,0.6,13.47,8.33,6.27,598.14,9.97,794.51,13.24,Concrete,Very Good
Agboy Sur to Poblacion 3,5907.84,52.01,87.03,35.02,131.75,96.74,0.59,13.47,8.33,6.23,602.84,10.05,806.64,13.45,Concrete,Very Good
Anonang to Poblacion 1,4049.07,57.09,87.03,29.93,76.73,46.8,0.74,12.89,8.33,6.93,413.17,6.88,496.85,8.28,Concrete,Very Good
Anonang to Poblacion 2,4094.08,57.07,87.03,29.95,82.38,52.43,0.73,12.89,8.33,6.87,417.77,6.96,506.59,8.44,Concrete,Very Good
Anonang to Poblacion 3,4085.23,57.07,87.03,29.96,78.84,48.88,0.73,12.89,8.33,6.88,416.86,6.94,504.61,8.41,Concrete,Very Good
Biri Norte to Poblacion 1,3515.1,71.87,87.05,15.17,70.18,55.0,0.43,13.55,8.33,7.37,358.68,5.98,405.6,6.76,Concrete,Very Good
Biri Norte to Poblacion 2,3578.04,72.0,87.05,15.05,74.46,59.41,0.42,13.55,8.33,7.29,365.11,6.09,417.03,6.95,Concrete,Very Good
Biri Norte to Poblacion 3,3560.89,72.0,87.05,15.05,70.58,55.54,0.42,13.55,8.33,7.32,363.36,6.05,413.67,6.89,Concrete,Very Good
Biri Sur to Poblacion 1,4389.59,76.66,87.05,10.39,94.37,83.98,0.24,15.27,8.33,6.83,447.92,7.46,546.19,9.1,Concrete,Very Good
Biri Sur to Poblacion 2,4445.01,76.63,87.05,10.41,98.64,88.23,0.23,15.26,8.33,6.76,453.57,7.56,558.88,9.32,Concrete,Very Good
Biri Sur to Poblacion 3,4299.03,76.66,87.05,10.39,85.32,74.93,0.24,13.55,8.33,6.94,438.68,7.31,526.18,8.77,Concrete,Very Good
Buenavista to Poblacion 1,6344.98,81.77,87.03,5.26,127.03,121.78,0.08,20.58,8.33,7.04,647.45,10.8,766.08,12.77,Concrete,Very Good
Buenavista to Poblacion 2,6388.65,81.77,87.03,5.26,130.53,125.28,0.08,20.58,8.33,7.0,651.9,10.86,775.47,12.93,Concrete,Very Good
Buenavista to Poblacion 3,6370.38,81.77,87.03,5.26,126.3,121.04,0.08,20.58,8.33,7.02,650.04,10.84,771.55,12.86,Concrete,Very Good
Omambong to Poblacion 1,4994.6,45.96,87.05,41.09,104.95,63.86,0.82,13.55,8.33,7.55,509.65,8.49,562.67,9.38,Concrete,Very Good
Omambong to Poblacion 2,5049.1,45.96,87.05,41.09,109.21,68.12,0.81,13.55,8.33,7.49,515.21,8.58,572.64,9.55,Concrete,Very Good
Omambong to Poblacion 3,5031.88,45.96,87.05,41.09,105.35,64.26,0.82,13.55,8.33,7.51,513.46,8.56,569.48,9.49,Concrete,Very Good
Pandan to Poblacion 1,4258.32,52.5,87.03,34.52,81.32,46.8,0.81,12.89,8.33,6.98,434.52,7.24,518.51,8.64,Concrete,Very Good
Pandan to Poblacion 2,4721.48,65.75,87.03,21.28,94.86,73.58,0.45,13.06,8.33,7.01,481.78,8.03,572.19,9.54,Concrete,Very Good
Pandan to Poblacion 3,4697.63,65.28,87.03,21.75,91.23,69.48,0.46,13.06,8.33,7.02,479.35,7.99,568.42,9.48,Concrete,Very Good
Talacuan to Poblacion 1,2567.2,58.6,87.05,28.45,52.02,23.57,1.11,12.81,8.33,7.03,261.96,4.37,310.46,5.18,Concrete,Very Good
Talacuan to Poblacion 2,2628.51,58.34,87.05,28.71,56.08,27.37,1.09,12.81,8.33,6.92,268.22,4.47,322.86,5.38,Concrete,Very Good
Talacuan to Poblacion 3,2609.57,58.34,87.05,28.71,52.18,23.47,1.1,12.81,8.33,6.96,266.28,4.44,318.83,5.31,Concrete,Very Good
Awis to Poblacion 1,6094.06,185.31,87.02,-98.3,193.19,291.49,-1.62,25.78,8.33,4.03,621.84,10.36,1285.35,21.42,Concrete,Very Good
Awis to Poblacion 2,7872.74,185.25,86.96,-98.3,284.71,383.01,-1.26,27.35,8.33,4.06,803.34,13.39,1648.07,27.47,Concrete,Very Good
Awis to Poblacion 3,9004.05,185.25,87.04,-98.21,289.92,388.13,-1.1,35.49,8.33,4.07,918.78,15.32,1878.73,31.31,Concrete,Very Good
Awis to Poblacion 4,9050.32,185.25,87.04,-98.21,278.59,376.79,-1.09,34.65,8.33,4.07,923.5,15.39,1888.16,31.47,Concrete,Very Good
Awis to Poblacion 5,6303.38,184.84,87.04,-97.8,120.05,217.85,-1.56,25.68,8.33,4.04,643.2,10.72,1327.72,22.13,Concrete,Very Good
Buga to Poblacion 1,4442.46,83.0,87.04,4.04,73.92,69.88,0.09,16.84,8.33,5.18,453.31,7.56,729.38,12.16,Concrete,Very Good
Buga to Poblacion 2,4352.37,83.0,87.04,4.04,100.56,96.52,0.09,22.52,8.33,5.33,444.12,7.4,693.85,11.56,Concrete,Very Good
Bulad to Poblacion 1,8631.82,142.53,87.04,-55.49,306.33,361.82,-0.65,35.49,8.33,4.11,880.8,14.68,1784.66,29.74,Concrete,Very Good
Bulad to Poblacion 2,12465.86,142.53,87.04,-55.49,419.57,475.07,-0.45,35.49,8.33,4.13,1272.02,21.2,2567.01,42.78,Concrete,Very Good
Bulad to Poblacion 3,7877.38,142.88,87.02,-55.86,310.25,366.11,-0.71,30.34,8.33,4.11,803.81,13.4,1630.9,27.18,Concrete,Very Good
Bulad to Poblacion 4,8059.54,148.84,87.04,-61.8,228.19,289.98,-0.77,30.52,8.33,4.1,822.4,13.71,1670.52,27.85,Concrete,Very Good
Ligtos to Poblacion 1,8291.99,134.42,87.29,-47.14,106.23,153.37,-0.57,22.37,8.33,5.39,846.12,14.1,1307.43,21.79,Concrete,Very Good
Ligtos to Poblacion 2,8276.06,134.5,87.29,-47.21,117.71,164.92,-0.57,32.0,8.33,5.41,844.5,14.08,1300.95,21.68,Concrete,Very Good
Oluangan to Poblacion 1,8183.84,116.83,87.29,-29.54,89.25,118.79,-0.36,12.84,8.33,4.13,835.08,13.91,1682.32,28.04,Concrete,Very Good
Oluangan to Poblacion 2,8134.0,116.83,87.29,-29.54,117.91,147.45,-0.36,22.66,8.33,4.13,830.0,13.83,1672.16,27.87,Concrete,Very Good
Tina-an Norte to Poblacion 1,7137.92,107.89,87.29,-20.6,76.56,97.16,-0.29,12.84,8.33,5.97,728.36,12.14,1017.06,16.95,Concrete,Very Good
Tina-an Norte to Poblacion 2,7046.62,107.89,87.29,-20.6,102.71,123.31,-0.29,22.76,8.33,6.05,719.04,11.98,989.77,16.5,Concrete,Very Good
Agta to Poblacion 1,11932.23,149.74,86.91,-62.83,176.86,239.7,-0.53,21.11,8.33,4.77,1217.57,20.29,2127.99,35.47,Concrete,Very Good
Agta to Poblacion 2,13038.74,149.9,86.95,-62.95,445.41,508.36,-0.48,37.2,8.33,4.12,1330.48,22.18,2687.03,44.79,Concrete,Very Good
Barangbang to Poblacion 1,12211.71,77.97,251.83,173.86,531.53,357.67,1.43,31.89,8.33,4.89,1246.09,20.77,2123.31,35.39,Concrete,Very Good
Barangbang to Poblacion 2,17080.75,77.99,251.83,173.84,589.69,415.86,1.02,44.88,8.33,4.08,1742.93,29.05,3558.58,59.31,Concrete,Very Good
Bacolod to Poblacion 1,20046.32,77.99,541.27,463.27,911.54,448.26,2.32,61.81,8.33,5.94,2045.54,34.09,2870.08,47.84,Concrete,Very Good
Bacolod to Poblacion 2,24820.83,77.97,541.27,463.3,1370.38,907.08,1.88,61.81,8.33,4.57,2532.74,42.21,4618.8,76.98,Concrete,Very Good
Bacolod to Poblacion 3,30346.03,78.08,538.25,460.17,1575.46,1115.29,1.53,64.06,8.33,4.04,3096.53,51.61,6388.36,106.47,Concrete,Very Good
Bobon to Poblacion 1,24625.97,78.08,530.94,452.87,1185.12,732.26,1.85,63.02,8.33,5.7,2512.86,41.88,3673.27,61.22,Concrete,Very Good
Bobon to Poblacion 2,29429.5,77.97,530.94,452.97,1661.84,1208.86,1.55,63.02,8.33,4.5,3003.01,50.05,5558.3,92.64,Concrete,Very Good
Bobon to Poblacion 3,25815.5,77.99,531.69,453.7,1302.8,849.11,1.77,61.81,8.33,5.41,2634.23,43.9,4059.02,67.65,Concrete,Very Good
Ingay to Poblacion 1,24153.87,77.95,417.29,339.33,1181.63,842.3,1.42,94.41,8.33,4.05,2464.68,41.08,5072.95,84.55,Concrete,Very Good
Ingay to Poblacion 2,28952.12,77.97,417.29,339.32,1621.31,1281.99,1.18,94.41,8.33,4.07,2954.29,49.24,6051.68,100.86,Concrete,Very Good
Barasan to Poblacion 1,3413.54,106.25,87.32,-18.93,74.39,93.32,-0.56,19.5,8.33,4.12,348.32,5.81,704.47,11.74,Concrete,Very Good
Barasan to Poblacion 2,9526.53,106.23,87.1,-19.12,283.63,302.76,-0.2,24.72,8.33,4.15,972.09,16.2,1952.05,32.54,Concrete,Very Good
Samlague to Poblacion 1,8248.28,234.82,86.93,-147.89,189.14,337.03,-1.8,27.76,8.33,4.27,841.66,14.02,1643.55,27.4,Concrete,Very Good
Samlague to Poblacion 2,8201.56,234.72,86.93,-147.79,203.0,350.8,-1.81,33.31,8.33,4.31,836.89,13.95,1616.49,26.94,Concrete,Very Good
Samlague to Poblacion 3,8273.15,234.78,86.93,-147.85,215.76,363.6,-1.79,40.33,8.33,4.25,844.2,14.07,1655.35,27.59,Concrete,Very Good
Samlague to Poblacion 4,16755.36,234.79,87.12,-147.67,509.18,656.85,-0.88,37.75,8.33,4.09,1709.73,28.49,3481.07,58.02,Concrete,Very Good
Binolbog to Poblacion 1,8748.42,77.99,277.27,199.28,356.06,156.78,2.29,37.71,8.33,5.56,892.7,14.88,1336.86,22.28,Concrete,Very Good
Binolbog to Poblacion 2,9796.52,77.99,277.27,199.28,393.34,194.06,2.04,31.61,8.33,4.82,999.64,16.66,1726.56,28.77,Concrete,Very Good
Binolbog to Poblacion 3,13961.7,276.34,87.05,-189.28,425.22,614.5,-1.36,38.54,8.33,4.05,1424.66,23.74,2929.11,48.82,Concrete,Very Good
Lonoc to Poblacion 1,7710.3,77.97,239.3,161.33,279.32,117.99,2.1,31.34,8.33,5.3,786.77,13.12,1236.55,20.61,Concrete,Very Good
Lonoc to Poblacion 2,10593.92,77.97,239.28,161.31,414.58,253.27,1.53,35.34,8.33,4.04,1081.01,18.02,2230.18,37.17,Concrete,Very Good
Lonoc to Poblacion 3,14745.26,239.76,87.05,-152.7,476.11,628.81,-1.04,38.54,8.33,4.08,1504.62,25.08,3073.18,51.22,Concrete,Very Good
Carolina to Poblacion 1,7063.02,77.97,187.95,109.98,304.37,194.39,1.56,30.65,8.33,4.43,720.71,12.01,1354.25,22.57,Concrete,Very Good
Carolina to Poblacion 2,7233.09,77.97,187.95,109.98,318.21,208.24,1.53,30.65,8.33,4.25,738.07,12.3,1445.36,24.09,Concrete,Very Good
Paga to Poblacion 1,12437.91,331.51,87.12,-244.39,236.08,480.47,-1.97,29.76,8.33,4.0,1269.18,21.16,2642.46,44.04,Concrete,Very Good
Paga to Poblacion 2,13859.82,331.51,87.05,-244.46,407.39,651.85,-1.77,38.54,8.33,4.02,1414.26,23.57,2932.46,48.88,Concrete,Very Good
Paga to Poblacion 3,17122.28,87.02,331.45,244.44,740.5,496.06,1.43,32.96,8.33,4.05,1747.18,29.12,3597.49,59.96,Concrete,Very Good
Ambulong to Poblacion 1,7216.42,107.87,86.95,-20.92,140.46,161.38,-0.29,13.67,8.33,5.77,736.37,12.27,1063.98,17.73,Concrete,Very Good
Ambulong to Poblacion 2,17223.12,107.88,87.05,-20.82,631.72,652.54,-0.12,38.54,8.33,4.15,1757.46,29.29,3523.48,58.73,Concrete,Very Good
Ambulong to Poblacion 3,15884.78,107.83,87.05,-20.78,630.58,651.35,-0.13,38.54,8.33,4.15,1620.9,27.01,3250.34,54.17,Concrete,Very Good
Avanzada to Poblacion 1,7089.52,151.05,87.1,-63.95,139.27,203.22,-0.9,26.8,8.33,5.02,723.42,12.05,1201.47,20.03,Concrete,Very Good
Avanzada to Poblacion 2,15891.13,149.99,87.05,-62.94,567.44,630.38,-0.4,38.54,8.33,4.13,1621.54,27.02,3269.1,54.48,Concrete,Very Good
