Path_Name,Distance_m,Drive_Time_min,Motorcycle_Time_min,Walk_Time_min
Buga to Poblacion 2,4343.91,13.55,11.52,81.3
Oluangan to Poblacion 2,8124.44,32.51,27.63,195.06
Tina-an Norte to Poblacion 2,7038.33,19.27,16.38,115.62
Barasan to Poblacion 2,9497.06,38.0,32.3,228.0
Samlague to Poblacion 4,16686.78,66.77,56.75,400.62
Binolbog to Poblacion 3,13898.34,55.62,47.28,333.72
Lonoc to Poblacion 3,14678.88,58.74,49.93,352.44
Ambulong to Poblacion 2,17147.05,68.62,58.33,411.72
Ambulong to Poblacion 3,15801.67,63.23,53.75,379.38
Avanzada to Poblacion 2,15819.54,63.3,53.8,379.8
Avanzada to Poblacion 3,17132.55,68.56,58.28,411.36
Bayag Norte to Poblacion 2,17097.07,68.42,58.16,410.52
Bayag Norte to Poblacion 3,17226.04,68.93,58.59,413.58
Bayag Sur to Poblacion 2,16583.23,66.36,56.41,398.16
Bayag Sur to Poblacion 3,16704.36,66.84,56.81,401.04
Cabutongan to Poblacion 2,16729.42,66.94,56.9,401.64
Cabutongan to Poblacion 3,18049.04,72.23,61.4,433.38
Jamog Gines to Poblacion 2,17410.9,69.67,59.22,418.02
Jamog Gines to Poblacion 3,17535.72,70.17,59.64,421.02
Jamog Gines to Poblacion 4,8706.39,34.84,29.61,209.04
Jamog Gines to Poblacion 5,9716.31,38.88,33.05,233.28
Jamog Gines to Poblacion 6,8369.23,33.49,28.47,200.94
Jamog Gines to Poblacion 7,7692.82,30.78,26.16,184.68
Isian Norte to Poblacion 2,7504.0,30.03,25.53,180.18
Isian Norte to Poblacion 3,8514.58,34.07,28.96,204.42
Isian Norte to Poblacion 4,6427.34,25.72,21.86,154.32
Isian Norte to Poblacion 5,7097.22,28.4,24.14,170.4
Mina to Poblacion 2,18124.1,72.53,61.65,435.18
Mina to Poblacion 3,16476.24,65.93,56.04,395.58
Panginman to Poblacion 2,4428.99,17.72,15.06,106.32
Panginman to Poblacion 3,6749.45,27.01,22.96,162.06
Panginman to Poblacion 4,9336.37,37.36,31.76,224.16
Panginman to Poblacion 5,10330.95,41.34,35.14,248.04
Tina-an Sur to Poblacion 2,6033.79,24.14,20.52,144.84
Tina-an Sur to Poblacion 3,5139.39,20.57,17.48,123.42
Tina-an Sur to Poblacion 4,8623.18,34.51,29.33,207.06
Lanag to Poblacion 2,13080.83,52.34,44.49,314.04
Lanag to Poblacion 3,10725.52,42.92,36.48,257.52
Nagbangi to Poblacion 2,13197.34,52.81,44.89,316.86
Nagbangi to Poblacion 3,8982.51,35.94,30.55,215.64
Salngan to Poblacion 2,8477.71,33.92,28.83,203.52
