Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Agboy Norte to Poblacion 1,6826.5,63.66,87.03,23.36,136.01,112.65,0.34,13.47,8.33,6.04,4917.06,81.96,6786.72,113.1,Concrete,Very Good
Agboy Norte to Poblacion 2,6791.1,63.66,87.03,23.36,133.93,110.57,0.34,13.47,8.33,6.07,4891.56,81.54,6715.08,111.9,Concrete,Very Good
Agboy Norte to Poblacion 3,6835.5,63.66,87.03,23.36,139.56,116.2,0.34,13.47,8.33,6.03,4923.54,82.08,6804.84,113.4,Concrete,Very Good
Agboy Sur to Poblacion 1,5898.23,51.99,87.03,35.03,128.22,93.19,0.59,13.47,8.33,6.23,4248.42,70.8,5676.54,94.62,Concrete,Very Good
Agboy Sur to Poblacion 2,5861.81,52.01,87.03,35.02,126.13,91.11,0.6,13.47,8.33,6.27,4222.2,70.38,5608.32,93.48,Concrete,Very Good
Agboy Sur to Poblacion 3,5907.84,52.01,87.03,35.02,131.75,96.74,0.59,13.47,8.33,6.23,4255.32,70.92,5693.94,94.92,Concrete,Very Good
Anonang to Poblacion 1,4049.07,57.09,87.03,29.93,76.73,46.8,0.74,12.89,8.33,6.93,2916.48,48.6,3507.18,58.44,Concrete,Very Good
Anonang to Poblacion 2,4094.08,57.07,87.03,29.95,82.38,52.43,0.73,12.89,8.33,6.87,2948.94,49.14,3575.94,59.58,Concrete,Very Good
Anonang to Poblacion 3,4085.23,57.07,87.03,29.96,78.84,48.88,0.73,12.89,8.33,6.88,2942.52,49.02,3561.96,59.34,Concrete,Very Good
Biri Norte to Poblacion 1,3515.1,71.87,87.05,15.17,70.18,55.0,0.43,13.55,8.33,7.37,2531.88,42.18,2863.08,47.7,Concrete,Very Good
Biri Norte to Poblacion 2,3578.04,72.0,87.05,15.05,74.46,59.41,0.42,13.55,8.33,7.29,2577.24,42.96,2943.72,49.08,Concrete,Very Good
Biri Norte to Poblacion 3,3560.89,72.0,87.05,15.05,70.58,55.54,0.42,13.55,8.33,7.32,2564.88,42.72,2920.02,48.66,Concrete,Very Good
Biri Sur to Poblacion 1,4389.59,76.66,87.05,10.39,94.37,83.98,0.24,15.27,8.33,6.83,3161.76,52.68,3855.48,64.26,Concrete,Very Good
Biri Sur to Poblacion 2,4445.01,76.63,87.05,10.41,98.64,88.23,0.23,15.26,8.33,6.76,3201.66,53.34,3945.06,65.76,Concrete,Very Good
Biri Sur to Poblacion 3,4299.03,76.66,87.05,10.39,85.32,74.93,0.24,13.55,8.33,6.94,3096.54,51.6,3714.24,61.92,Concrete,Very Good
Buenavista to Poblacion 1,6344.98,81.77,87.03,5.26,127.03,121.78,0.08,20.58,8.33,7.04,4570.2,76.2,5407.62,90.12,Concrete,Very Good
Buenavista to Poblacion 2,6388.65,81.77,87.03,5.26,130.53,125.28,0.08,20.58,8.33,7.0,4601.64,76.68,5473.92,91.26,Concrete,Very Good
Buenavista to Poblacion 3,6370.38,81.77,87.03,5.26,126.3,121.04,0.08,20.58,8.33,7.02,4588.5,76.5,5446.26,90.78,Concrete,Very Good
Omambong to Poblacion 1,4994.6,45.96,87.05,41.09,104.95,63.86,0.82,13.55,8.33,7.55,3597.54,59.94,3971.82,66.18,Concrete,Very Good
Omambong to Poblacion 2,5049.1,45.96,87.05,41.09,109.21,68.12,0.81,13.55,8.33,7.49,3636.78,60.6,4042.14,67.38,Concrete,Very Good
