Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Agboy Norte to Poblacion 1,6826.5,63.66,87.03,23.36,136.01,112.65,0.34,13.47,8.33,8.27,819.51,13.66,825.16,13.75,Concrete,Very Good
Agboy Norte to Poblacion 2,6791.1,63.66,87.03,23.36,133.93,110.57,0.34,13.47,8.33,8.27,815.26,13.59,820.91,13.68,Concrete,Very Good
Agboy Norte to Poblacion 3,6835.5,63.66,87.03,23.36,139.56,116.2,0.34,13.47,8.33,8.27,820.59,13.68,826.24,13.77,Concrete,Very Good
Agboy Sur to Poblacion 1,5898.23,51.99,87.03,35.03,128.22,93.19,0.59,13.47,8.33,8.23,708.07,11.8,716.59,11.94,Concrete,Very Good
Agboy Sur to Poblacion 2,5861.81,52.01,87.03,35.02,126.13,91.11,0.6,13.47,8.33,8.23,703.7,11.73,712.22,11.87,Concrete,Very Good
Agboy Sur to Poblacion 3,5907.84,52.01,87.03,35.02,131.75,96.74,0.59,13.47,8.33,8.23,709.22,11.82,717.74,11.96,Concrete,Very Good
Anonang to Poblacion 1,4049.07,57.09,87.03,29.93,76.73,46.8,0.74,12.89,8.33,8.21,486.08,8.1,493.38,8.22,Concrete,Very Good
Anonang to Poblacion 2,4094.08,57.07,87.03,29.95,82.38,52.43,0.73,12.89,8.33,8.21,491.49,8.19,498.79,8.31,Concrete,Very Good
Anonang to Poblacion 3,4085.23,57.07,87.03,29.96,78.84,48.88,0.73,12.89,8.33,8.21,490.42,8.17,497.73,8.3,Concrete,Very Good
Biri Norte to Poblacion 1,3515.1,71.87,87.05,15.17,70.18,55.0,0.43,13.55,8.33,8.26,421.98,7.03,425.66,7.09,Gravel,Fairly Good
Biri Norte to Poblacion 2,3578.04,72.0,87.05,15.05,74.46,59.41,0.42,13.55,8.33,8.26,429.54,7.16,433.18,7.22,Gravel,Fairly Good
Biri Norte to Poblacion 3,3560.89,72.0,87.05,15.05,70.58,55.54,0.42,13.55,8.33,8.26,427.48,7.12,431.13,7.19,Gravel,Fairly Good
Biri Sur to Poblacion 1,4389.59,76.66,87.05,10.39,94.37,83.98,0.24,15.27,8.33,8.29,526.96,8.78,529.47,8.82,Concrete,Very Good
Biri Sur to Poblacion 2,4445.01,76.63,87.05,10.41,98.64,88.23,0.23,15.26,8.33,8.29,533.61,8.89,536.13,8.94,Concrete,Very Good
Biri Sur to Poblacion 3,4299.03,76.66,87.05,10.39,85.32,74.93,0.24,13.55,8.33,8.29,516.09,8.6,518.6,8.64,Concrete,Verygood
Buenavista to Poblacion 1,6344.98,81.77,87.03,5.26,127.03,121.78,0.08,20.58,8.33,8.32,761.7,12.7,762.97,12.72,"Gravel, Concrete",Fairly Good
Buenavista to Poblacion 2,6388.65,81.77,87.03,5.26,130.53,125.28,0.08,20.58,8.33,8.32,766.94,12.78,768.21,12.8,"Gravel, Concrete",Fairly Good
Buenavista to Poblacion 3,6370.38,81.77,87.03,5.26,126.3,121.04,0.08,20.58,8.33,8.32,764.75,12.75,766.02,12.77,"Gravel, Concrete",Fairly Good
Omambong to Poblacion 1,4994.6,45.96,87.05,41.09,104.95,63.86,0.82,13.55,8.33,8.19,599.59,9.99,609.63,10.16,Concrete,Very Good
Omambong to Poblacion 2,5049.1,45.96,87.05,41.09,109.21,68.12,0.81,13.55,8.33,8.19,606.13,10.1,616.17,10.27,Concrete,Very Good
Omambong to Poblacion 3,5031.88,45.96,87.05,41.09,105.35,64.26,0.82,13.55,8.33,8.19,604.07,10.07,614.11,10.24,Concrete,Very Good
Pandan to Poblacion 1,4258.32,52.5,87.03,34.52,81.32,46.8,0.81,12.89,8.33,8.19,511.2,8.52,519.64,8.66,Concrete,Very Good
Pandan to Poblacion 2,4721.48,65.75,87.03,21.28,94.86,73.58,0.45,13.06,8.33,8.25,566.8,9.45,571.97,9.53,Concrete,Very Good
Pandan to Poblacion 3,4697.63,65.28,87.03,21.75,91.23,69.48,0.46,13.06,8.33,8.25,563.94,9.4,569.22,9.49,Concrete,Very Good
Talacuan to Poblacion 1,2567.2,58.6,87.05,28.45,52.02,23.57,1.11,12.81,8.33,8.15,308.19,5.14,315.18,5.25,Concrete,Very Good
Talacuan to Poblacion 2,2628.51,58.34,87.05,28.71,56.08,27.37,1.09,12.81,8.33,8.15,315.55,5.26,322.6,5.38,Concrete,Very Good
Talacuan to Poblacion 3,2609.57,58.34,87.05,28.71,52.18,23.47,1.1,12.81,8.33,8.15,313.27,5.22,320.33,5.34,Concrete,Very Good
Awis to Poblacion 1,6094.06,185.31,87.02,-98.3,193.19,291.49,-1.62,25.78,8.33,8.06,731.58,12.19,756.09,12.6,"Gravel, Earth",Poor
Awis to Poblacion 2,7872.74,185.25,86.96,-98.3,284.71,383.01,-1.26,27.35,8.33,8.12,945.11,15.75,969.45,16.16,"Gravel, Earth",Poor
Awis to Poblacion 3,9004.05,185.25,87.04,-98.21,289.92,388.13,-1.1,35.49,8.33,8.15,1080.92,18.02,1105.14,18.42,"Gravel, Earth",Poor
Awis to Poblacion 4,9050.32,185.25,87.04,-98.21,278.59,376.79,-1.09,34.65,8.33,8.15,1086.47,18.11,1110.68,18.51,"Gravel, Earth",Poor
Awis to Poblacion 5,6303.38,184.84,87.04,-97.8,120.05,217.85,-1.56,25.68,8.33,8.07,756.71,12.61,781.01,13.02,Concrete,Poor
Buga to Poblacion 1,4442.46,83.0,87.04,4.04,73.92,69.88,0.09,16.84,8.33,8.31,533.31,8.89,534.28,8.9,Concrete,Very Good
Bulad to Poblacion 2,12465.86,142.53,87.04,-55.49,419.57,475.07,-0.45,35.49,8.33,8.26,1496.5,24.94,1510.0,25.17,"Gravel, Earth",Poor
Bulad to Poblacion 1,8631.82,142.53,87.04,-55.49,306.33,361.82,-0.65,35.49,8.33,8.22,1036.23,17.27,1049.8,17.5,"Gravel, Earth",Poor
Bulad to Poblacion 3,7877.38,142.88,87.02,-55.86,310.25,366.11,-0.71,30.34,8.33,8.21,945.66,15.76,959.35,15.99,"Gravel, Earth",Poor
Bulad to Poblacion 4,8059.54,148.84,87.04,-61.8,228.19,289.98,-0.77,30.52,8.33,8.2,967.53,16.13,982.66,16.38,Concrete,Poor
Ligtos to Poblacion 1,8291.99,134.42,87.29,-47.14,106.23,153.37,-0.57,22.37,8.33,8.24,995.44,16.59,1006.9,16.78,Concrete,Very Good
Ligtos to Poblacion 2,8276.06,134.5,87.29,-47.21,117.71,164.92,-0.57,32.0,8.33,8.23,993.53,16.56,1005.01,16.75,Concrete,Very Good
Oluangan to Poblacion 1,8183.84,116.83,87.29,-29.54,89.25,118.79,-0.36,12.84,8.33,8.27,982.45,16.37,989.6,16.49,Concrete,Very Good
Tina-an Norte to Poblacion1,7137.92,107.89,87.29,-20.6,76.56,97.16,-0.29,12.84,8.33,8.28,856.89,14.28,861.87,14.36,Concrete,Very Good
Agta to Poblacion 1,11932.23,149.74,86.91,-62.83,176.86,239.7,-0.53,21.11,8.33,8.24,1432.44,23.87,1447.71,24.13,Concrete,Very Good
Agta to Poblacion 2,13038.74,149.9,86.95,-62.95,445.41,508.36,-0.48,37.2,8.33,8.25,1565.27,26.09,1580.6,26.34,Concrete,Very Good
Barangbang to Poblacion 2,17694.23,86.93,251.83,164.9,600.68,435.78,0.94,44.88,8.33,8.17,2124.16,35.4,2164.65,36.08,"Gravel, Concrete","Fairly Good, Very Good"
Barangbang to Poblacion 1,12824.68,86.93,251.83,164.9,542.49,377.59,1.29,31.89,8.33,8.11,1539.58,25.66,1580.39,26.34,"Gravel, Concrete","Fairly Good, Very Good"
Bacolod to Poblacion 1,20659.8,86.93,541.27,454.34,922.52,468.18,2.21,61.81,8.33,7.96,2480.17,41.34,2594.91,43.25,Concrete,Very Good
Bacolod to Poblacion 2,25433.8,86.93,541.27,454.34,1381.34,927.01,1.8,61.81,8.33,8.03,3053.28,50.89,3167.22,52.79,Concrete,Very Good
Bacolod to Poblacion 3,30960.95,86.93,538.25,451.32,1586.53,1135.21,1.47,64.06,8.33,8.09,3716.8,61.95,3829.32,63.82,Concrete,Very Good
Bobon to Poblacion 1,25240.89,86.93,530.94,444.01,1196.19,752.18,1.77,63.02,8.33,8.03,3030.12,50.5,3141.37,52.36,Concrete,Very Good
